fight_date,fighter_a_name,fighter_b_name,fighter_a_id,fighter_b_id,result,title_fight,weight_class,a_age,b_age,a_height_cm,b_height_cm,a_reach_cm,b_reach_cm,a_stance,b_stance,a_slpm,b_slpm,a_str_acc,b_str_acc,a_sapm,b_sapm,a_str_def,b_str_def,a_td_avg,b_td_avg,a_td_acc,b_td_acc,a_td_def,b_td_def,a_sub_avg,b_sub_avg
2010-04-10,Demian Maia,Anderson Silva,demian-maia,anderson-silva,L,True,Middleweight,32,34,185.42,187.96,182.88,195.58,Southpaw,Southpaw,0.8190466666666667,2.013333333333333,0.491,0.77,,,,,1.5714,0.2,0.42,0.2,,,1.2857,0.3
2010-04-10,Frankie Edgar,BJ Penn,frankie-edgar,bj-penn,W,True,Lightweight,28,31,167.64,175.26,172.72,177.8,Orthodox,Orthodox,3.066666666666667,2.5833333333333335,0.483,0.624,,,,,4.0,1.3125,0.347,0.416,,,0.2857,0.6875
2010-04-10,Renzo Gracie,Matt Hughes,renzo-gracie,matt-hughes,L,False,Welterweight,43,36,177.8,175.26,177.8,185.42,Orthodox,Switch,,1.4031733333333334,,0.552,,,,,,2.2381,,0.58,,,,0.7143
2010-04-10,Terry Etim,Rafael Dos Anjos,terry-etim,rafael-dos-anjos,L,False,Lightweight,24,25,185.42,172.72,185.42,177.8,Orthodox,Southpaw,1.6952399999999999,2.15,0.437,0.343,,,,,0.1429,2.75,0.143,0.36,,,1.1429,1.75
2010-04-10,Mark Munoz,Kendall Grove,mark-munoz,kendall-grove,W,False,Middleweight,32,27,182.88,198.12,182.88,200.66,Orthodox,Orthodox,1.8444466666666666,1.3925933333333333,0.483,0.434,,,,,1.0,0.3333,0.387,0.333,,,0.6667,1.4444
2010-04-10,Phil Davis,Alexander Gustafsson,phil-davis,alexander-gustafsson,W,False,Light Heavyweight,25,23,187.96,195.58,200.66,200.66,Orthodox,Orthodox,3.2,0.4,0.46,0.26,,,,,3.0,0.0,0.75,0.0,,,1.0,0.0
2010-04-10,Nick Osipczak,Rick Story,nick-osipczak,rick-story,L,False,Welterweight,25,25,187.96,175.26,193.04,180.34,Orthodox,Southpaw,2.0,1.9111133333333332,0.455,0.293,,,,,0.5,3.0,0.5,0.803,,,1.0,2.3333
2010-04-10,Brad Blackburn,DaMarques Johnson,brad-blackburn,damarques-johnson,L,False,Welterweight,32,27,177.8,185.42,185.42,190.5,Orthodox,Orthodox,3.9166666666666665,0.7666666666666667,0.375,0.44,,,,,0.0,0.0,0.0,0.0,,,0.25,0.5
2010-04-10,Matt Veach,Paul Kelly,matt-veach,paul-kelly,L,False,Lightweight,28,25,180.34,175.26,176.53,177.8,Orthodox,Orthodox,0.6333333333333333,2.506666666666667,0.285,0.298,,,,,2.0,1.6,0.33,0.732,,,0.0,0.6
2010-04-10,Jon Madsen,Mostapha Al-Turk,jon-madsen,mostapha-al-turk,W,False,Heavyweight,30,36,182.88,187.96,182.88,195.58,Orthodox,Orthodox,1.7333333333333334,0.36666666666666664,0.26,0.36,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
2010-05-08,Mauricio Rua,Lyoto Machida,mauricio-rua,lyoto-machida,W,True,Light Heavyweight,28,31,185.42,185.42,193.04,187.96,Orthodox,Southpaw,3.216666666666667,2.9,0.563,0.59,,,,,1.5,1.125,0.228,0.415,,,0.5,0.875
2010-05-08,Josh Koscheck,Paul Daley,josh-koscheck,paul-daley,W,False,Welterweight,32,27,177.8,175.26,185.42,193.04,Orthodox,Orthodox,1.1791666666666667,1.1666666666666667,0.402,0.41,,,,,1.8125,0.0,0.541,0.0,,,0.375,0.0
2010-05-08,Sam Stout,Jeremy Stephens,sam-stout,jeremy-stephens,L,False,Lightweight,26,23,175.26,172.72,177.8,180.34,Orthodox,Orthodox,3.5833333333333335,1.65,0.248,0.464,,,,,0.125,0.75,0.125,0.438,,,0.0,0.375
2010-05-08,Matt Mitrione,Kevin Ferguson,matt-mitrione,kevin-ferguson,W,False,Heavyweight,31,36,190.5,187.96,200.66,195.58,Switch,Orthodox,0.9333333333333333,1.8,0.41,0.4,,,,,0.0,4.0,0.0,1.0,,,0.0,1.0
2010-05-08,Patrick Cote,Alan Belcher,patrick-cote,alan-belcher,L,False,Middleweight,30,26,180.34,187.96,180.34,185.42,Orthodox,Orthodox,1.4666666666666666,1.7666666666666666,0.428,0.384,,,,,0.2222,0.3,0.092,0.164,,,0.1111,0.4
2010-05-08,Joe Doerksen,Tom Lawlor,joe-doerksen,tom-lawlor,W,False,Middleweight,32,26,182.88,182.88,190.5,187.96,Orthodox,Southpaw,0.6888866666666666,1.4666666666666666,0.533,0.343,,,,,2.0,2.6667,0.465,0.173,,,1.8333,1.0
2010-05-08,Jonathan Goulet,Marcus Davis,jonathan-goulet,marcus-davis,L,False,Welterweight,30,36,182.88,177.8,185.42,177.8,Orthodox,Southpaw,0.6333333333333333,1.5333333333333334,0.339,0.498,,,,,1.25,0.9167,0.333,0.313,,,0.25,0.9167
2010-05-08,TJ Grant,Johny Hendricks,tj-grant,johny-hendricks,L,False,Welterweight,26,26,177.8,175.26,182.88,175.26,Orthodox,Southpaw,1.8666666666666667,1.8666666666666667,0.547,0.525,,,,,1.6667,3.5,0.427,0.25,,,0.0,2.0
2010-05-08,Tim Hague,Joey Beltran,tim-hague,joey-beltran,L,False,Heavyweight,26,28,193.04,185.42,193.04,190.5,Orthodox,Orthodox,0.7555533333333333,1.4666666666666666,0.16,0.44,,,,,0.6667,0.0,0.667,0.0,,,0.6667,0.0
2010-05-08,Mike Guymon,Yoshiyuki Yoshida,mike-guymon,yoshiyuki-yoshida,W,False,Welterweight,35,35,182.88,180.34,187.96,177.8,Orthodox,Southpaw,0.4,0.18333333333333332,0.33,0.335,,,,,0.0,0.25,0.0,0.25,,,0.0,0.5
2010-05-08,Jason MacDonald,John Salter,jason-macdonald,john-salter,L,False,Middleweight,34,25,190.5,185.42,203.2,187.96,Orthodox,Southpaw,0.8133333333333332,0.4666666666666667,0.598,0.09,,,,,0.8,1.0,0.232,0.25,,,1.0,0.0
2010-05-29,Rampage Jackson,Rashad Evans,rampage-jackson,rashad-evans,L,False,Light Heavyweight,31,30,185.42,182.88,185.42,190.5,Orthodox,Orthodox,2.688886666666667,1.4909066666666668,0.552,0.356,,,,,0.6667,3.7273,0.22,0.407,,,0.0,0.0
2010-05-29,Michael Bisping,Dan Miller,michael-bisping,dan-miller,W,False,Middleweight,31,28,185.42,185.42,190.5,187.96,Orthodox,Orthodox,2.4242399999999997,0.8266666666666667,0.419,0.318,,,,,1.6364,1.2,0.516,0.17,,,0.4545,1.2
2010-05-29,Todd Duffee,Mike Russow,todd-duffee,mike-russow,L,False,Heavyweight,24,33,190.5,185.42,200.66,185.42,Orthodox,Orthodox,0.26666666666666666,1.4,0.8,0.58,,,,,0.0,8.0,0.0,0.72,,,0.0,2.0
2010-05-29,Jason Brilz,Rogerio Nogueira,jason-brilz,rogerio-nogueira,L,False,Light Heavyweight,34,33,180.34,187.96,180.34,190.5,Orthodox,Southpaw,2.75,0.9333333333333333,0.465,0.5,,,,,2.0,0.0,0.5,0.0,,,0.75,0.0
2010-05-29,Diego Sanchez,John Hathaway,diego-sanchez,john-hathaway,L,False,Welterweight,28,22,177.8,185.42,182.88,190.5,Southpaw,Orthodox,2.2359,2.8666666666666667,0.431,0.467,,,,,1.3846,4.6667,0.345,0.647,,,1.0,1.0
2010-05-29,Amir Sadollah,Dong Hyun Kim,amir-sadollah,dong-hyun-kim,L,False,Welterweight,29,28,177.8,187.96,187.96,193.04,Orthodox,Southpaw,3.75,2.283333333333333,0.438,0.57,,,,,0.5,3.0,0.25,0.585,,,0.5,1.0
2010-05-29,Dan Lauzon,Efrain Escudero,dan-lauzon,efrain-escudero,L,False,Lightweight,22,24,177.8,175.26,183.0,177.8,Orthodox,Orthodox,0.6,1.4,0.365,0.42,,,,,1.5,2.6667,0.7,0.623,,,0.0,0.6667
2010-05-29,Melvin Guillard,Waylon Lowe,melvin-guillard,waylon-lowe,W,False,Lightweight,27,29,175.26,170.18,172.72,165.0,Orthodox,Southpaw,0.8933333333333333,,0.354,,,,,,1.3,,0.525,,,,0.1,
2010-05-29,Cyrille Diabate,Luiz Cane,cyrille-diabate,luiz-cane,W,False,Light Heavyweight,36,29,198.12,187.96,205.74,195.58,Southpaw,Southpaw,,2.066666666666667,,0.42,,,,,,0.2,,0.2,,,,0.0
2010-05-29,Aaron Riley,Joe Brammer,aaron-riley,joe-brammer,W,False,Lightweight,29,26,172.72,172.72,175.26,177.8,Southpaw,Orthodox,2.566666666666667,0.2,0.382,0.15,,,,,0.8333,0.0,0.317,0.0,,,0.1667,0.0
2010-05-29,Ryan Jensen,Jesse Forbes,ryan-jensen,jesse-forbes,W,False,Middleweight,32,25,185.42,187.96,193.04,190.5,Orthodox,Southpaw,0.8133333333333332,1.3666666666666667,0.514,0.31,,,,,0.6,0.0,0.4,0.0,,,0.6,0.0
2010-06-12,Rich Franklin,Chuck Liddell,rich-franklin,chuck-liddell,W,False,Light Heavyweight,35,40,185.42,187.96,190.5,193.04,Southpaw,Orthodox,2.7708333333333335,1.8,0.469,0.403,,,,,0.75,0.2727,0.26,0.182,,,0.125,0.0
2010-06-12,Pat Barry,Mirko Cro Cop,pat-barry,mirko-cro-cop,L,False,Heavyweight,30,35,180.34,187.96,187.96,185.42,Orthodox,Southpaw,0.8444466666666667,1.1444466666666666,0.393,0.44,,,,,0.0,0.3333,0.0,0.333,,,0.0,0.1667
2010-06-12,Martin Kampmann,Paulo Thiago,martin-kampmann,paulo-thiago,W,False,Welterweight,28,29,182.88,180.34,182.88,185.42,Orthodox,Orthodox,1.6666666666666667,0.9166666666666666,0.452,0.385,,,,,0.8889,0.5,0.444,0.125,,,1.4444,1.5
2010-06-12,Ben Rothwell,Gilbert Yvel,ben-rothwell,gilbert-yvel,W,False,Heavyweight,28,33,193.04,187.96,198.12,195.58,Orthodox,Orthodox,0.2,0.2,0.14,0.16,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
2010-06-12,Rory MacDonald,Carlos Condit,rory-macdonald,carlos-condit,L,False,Welterweight,20,26,182.88,187.96,193.04,190.5,Orthodox,Orthodox,0.5333333333333333,2.066666666666667,0.42,0.39,,,,,2.0,2.0,0.66,0.625,,,2.0,2.0
2010-06-12,Evan Dunham,Tyson Griffin,evan-dunham,tyson-griffin,W,False,Lightweight,28,26,177.8,167.64,177.8,172.72,Southpaw,Orthodox,2.066666666666667,3.548146666666667,0.37,0.379,,,,,1.3333,1.3333,0.583,0.453,,,0.6667,0.8889
2010-06-12,Matt Wiman,Mac Danzig,matt-wiman,mac-danzig,W,False,Lightweight,26,30,177.8,172.72,172.72,177.8,Orthodox,Orthodox,1.9583333333333333,2.3,0.51,0.483,,,,,2.0,1.0,0.518,0.388,,,1.25,0.6667
2010-06-12,David Loiseau,Mario Miranda,david-loiseau,mario-miranda,L,False,Middleweight,30,30,182.88,190.5,193.04,187.96,Orthodox,Orthodox,1.3666666666666667,1.0666666666666667,0.475,0.4,,,,,0.375,0.0,0.313,0.0,,,0.125,0.0
2010-06-12,James Wilks,Peter Sobotta,james-wilks,peter-sobotta,W,False,Welterweight,32,23,185.42,182.88,190.5,190.5,Orthodox,Southpaw,1.2,1.2,0.465,0.46,,,,,1.5,2.0,0.55,0.28,,,5.5,0.0
2010-06-12,Claude Patrick,Ricardo Funch,claude-patrick,ricardo-funch,W,False,Welterweight,29,29,180.34,177.8,190.5,193.04,Orthodox,Southpaw,,1.0666666666666667,,0.61,,,,,,1.0,,0.16,,,,0.0
2010-06-12,Jesse Lennox,Mike Pyle,jesse-lennox,mike-pyle,L,False,Welterweight,28,34,175.26,182.88,182.88,187.96,Orthodox,Orthodox,1.9666666666666666,0.4,0.245,0.387,,,,,1.0,0.6667,0.5,0.11,,,0.5,1.0
2010-06-19,Kris McCray,Court McGee,kris-mccray,court-mcgee,L,True,Middleweight,28,25,182.88,180.34,193.04,190.5,Orthodox,Orthodox,,,,,,,,,,,,,,,,
2010-06-19,Matt Hamill,Keith Jardine,matt-hamill,keith-jardine,W,False,Light Heavyweight,33,34,185.42,187.96,193.04,193.04,Orthodox,Orthodox,1.8074066666666666,2.62778,0.426,0.379,,,,,1.8889,0.25,0.477,0.125,,,0.0,0.0
